,name,rank
0,Massachusetts Institute of Technology,1
1,Stanford University,1
2,"University of California, Berkeley",1
3,California Institute of Technology,4
4,Harvard University,4
5,Johns Hopkins University,6
6,Princeton University,6
7,"University of California, San Francisco",6
8,Yale University,6
9,The Scripps Research Institute,10
10,Duke University,10
11,Rockefeller University,13
12,University of Chicago,13
13,Washington University in St. Louis,13
14,Cold Spring Harbor Laboratory,16
15,"University of California, San Diego",16
16,Columbia University,18
17,"University of California, Davis",18
18,"University of California, Los Angeles",18
19,"University of Texas Southwestern Medical Center, Dallas",18
20,"University of Wisconsin, Madison",18
21,University of Washington,23
22,University of Pennsylvania,23
23,"University of Michigan, Ann Arbor",23
24,Baylor College of Medicine,26
25,Cornell University,27
26,Mayo Clinic Graduate School of Biomedical Sciences,27
27,Northwestern University,27
28,"University of Illinois, Urbana-Champaign",27
29,"University of Texas, Austin",27
30,Vanderbilt University,27
31,"University of California, Irvine",33
32,"University of North Carolina, Chapel Hill",33
33,"University of Colorado, Boulder",33
34,Emory University,33
35,Dartmouth College,33
36,Brown University,33
37,Albert Einstein College of Medicine,39
38,Carnegie Mellon University,39
39,"Indiana University, Bloomington",39
40,Ohio State University,39
41,Rice University,39
42,"University of California, Santa Barbara",39
43,"University of Minnesota, Twin Cities",39
44,University of Pittsburgh,46
45,University of Virginia,46
46,University of Georgia,46
47,"University of Massachusetts Medical Center, Worcester",46
48,"Pennsylvania State University, University Park",46
49,University of Arizona,46
50,Michigan State University,46
51,Case Western Reserve University,46
52,University of Southern California,54
53,"University of Massachusetts, Amherst",54
54,University of Iowa,54
55,"Stony Brook University, SUNY",54
56,Icahn School of Medicine at Mount Sinai,54
57,Georgia Institute of Technology,54
58,Brandeis University,54
59,Oregon Health and Science University,54
60,"University of Maryland, College Park",62
61,University of Utah,62
62,University of Rochester,62
63,University of Oregon,62
64,"University of California, Santa Cruz",62
65,New York University,62
66,"Texas A&M University, College Station",62
67,"Purdue University, West Lafayette",62
68,Colorado State University,62
69,Arizona State University,62
70,"University of Alabama, Birmingham",62
71,"University of Illinois, Chicago",73
72,"University of Texas Health Science Center, Houston",73
73,University of Notre Dame,73
74,Virginia Tech,73
75,University of Kansas,73
76,University of Florida,73
77,"Rutgers, The State University of New Jersey, New Brunswick",73
78,Tufts University,73
79,"Texas A&M Health Science Center, Baylor College of Dentistry",73
80,Rensselaer Polytechnic Institute,73
81,Iowa State University,73
82,"University of California, Riverside",73
83,Baylor University,85
84,Boston University,85
85,Georgetown University,85
86,North Carolina State University,85
87,University of Connecticut,85
88,"University of Texas Health Science Center, San Antonio",90
89,"University of Tennessee, Knoxville",90
90,"University of Nebraska, Lincoln",90
91,University of Miami,90
92,Oregon State University,90
93,University of Kentucky,90
94,Rutgers Biomedical and Health Sciences,90
95,"University of Maryland, Baltimore",90
96,"Indiana University-Purdue University, Indianapolis",98
97,George Washington University,98
98,Kansas State University,98
